Nro de carrera;Cod.Materia;mat precedente;Carrera;Materia
1;31006;;Analista de Sistemas;Algebra y Geometria Analitica
1;34068;;Analista de Sistemas;Procesos y Sistemas Administrativos
1;34069;;Analista de Sistemas;Fundamentos de Informatica
1;21002;;Analista de Sistemas;Pensamiento Critico y Comunicacion
1;34043;;Analista de Sistemas;Teoria de Sistemas
1;31024;;Analista de Sistemas;Matematica Discreta
1;34070;34068;Analista de Sistemas;Metodologias de Desarrollo
1;34071;34069;Analista de Sistemas;Programacion I
1;34072;;Analista de Sistemas;Arquitectura de Computadores
1;31007;;Analista de Sistemas;Analisis Matematico I
1;31018;31007;Analista de Sistemas;Estadistica General
1;31018;31006;Analista de Sistemas;Estadistica General
1;34073;34070;Analista de Sistemas;Ingenieria de Requerimientos
1;34074;34071;Analista de Sistemas;Programacion II
1;34075;34072;Analista de Sistemas;Sistemas Operativos
1;31008;31007;Analista de Sistemas;Analisis Matematico II
1;24121;;Analista de Sistemas;Ingles I
1;34076;34071;Analista de Sistemas;Introduccion a la Orientacion a Objetos
1;34076;34070;Analista de Sistemas;Introduccion a la Orientacion a Objetos
1;34077;34074;Analista de Sistemas;Programacion III
1;34078;;Analista de Sistemas;Fundamentos de Telecomunicaciones
1;24122;24121;Analista de Sistemas;Ingles II
1;34079;34076;Analista de Sistemas;Analisis y Diseño Orientado a Objetos
1;34080;34070;Analista de Sistemas;Base de Datos I
1;34081;34078;Analista de Sistemas;Teleinformatica y Redes I
1;2;;Analista de Sistemas;Optativa (2 Materias)
1111;34068;;Tec. Univ. En Desarrollo de Sist.;Procesos y Sistemas Administrativos
1111;34069;;Tec. Univ. En Desarrollo de Sist.;Fundamentos de Informatica
1111;34072;;Tec. Univ. En Desarrollo de Sist.;Arquitectura de Computadores
1111;34070;34068;Tec. Univ. En Desarrollo de Sist.;Metodologias de Desarrollo
1111;34071;34069;Tec. Univ. En Desarrollo de Sist.;Programacion I
1111;34075;34072;Tec. Univ. En Desarrollo de Sist.;Sistemas Operativos
1111;34073;34070;Tec. Univ. En Desarrollo de Sist.;Ingenieria de Requerimientos
1111;34074;34071;Tec. Univ. En Desarrollo de Sist.;Programacion II
1111;34079;34076;Tec. Univ. En Desarrollo de Sist.;Analisis y Diseño Orientado a Objetos
1111;34077;34074;Tec. Univ. En Desarrollo de Sist.;Programacion III
1111;34078;;Tec. Univ. En Desarrollo de Sist.;Fundamentos de Telecomunicaciones
1111;34089;34073;Tec. Univ. En Desarrollo de Sist.;Direccion de Proyectos Informaticos
1111;34080;34070;Tec. Univ. En Desarrollo de Sist.;Base de Datos I
1111;34081;34078;Tec. Univ. En Desarrollo de Sist.;Teleinformatica y Redes I
1111;34084;34080;Tec. Univ. En Desarrollo de Sist.;Base de Datos II
1111;34085;34081;Tec. Univ. En Desarrollo de Sist.;Teleinformatica y Redes II
1111;34105;;Tec. Univ. En Desarrollo de Sist.;Trabajo Final
1111;34082;34076;Tec. Univ. En Desarrollo de Sist.;Aplicaciones Interactivas
1111;3;;Tec. Univ. En Desarrollo de Sist.;Optativa (3 Materia)
13116;34068;;Lic. En Gestión de Tecnología de la Información;Procesos y Sistemas Administrativos
13116;34069;;Lic. En Gestión de Tecnología de la Información;Fundamentos de Informatica
13116;21002;;Lic. En Gestión de Tecnología de la Información;Pensamiento Critico y Comunicacion
13116;34130;;Lic. En Gestión de Tecnología de la Información;Tecnologia y Medioambiente
13116;12001;;Lic. En Gestión de Tecnología de la Información;Marketing
13116;31040;;Lic. En Gestión de Tecnología de la Información;Elementos de Matematica
13116;34070;34068;Lic. En Gestión de Tecnología de la Información;Metodologias de Desarrollo
13116;34071;34069;Lic. En Gestión de Tecnología de la Información;Programacion I
13116;34072;;Lic. En Gestión de Tecnología de la Información;Arquitectura de Computadores
13116;11093;;Lic. En Gestión de Tecnología de la Información;Liderazgo y Negociacion
13116;34131;;Lic. En Gestión de Tecnología de la Información;Gestion de Personas en Organizaciones de Tecnologia
13116;34132;;Lic. En Gestión de Tecnología de la Información;Requerimientos y Negocios
13116;34074;34071;Lic. En Gestión de Tecnología de la Información;Programacion II
13116;34075;34072;Lic. En Gestión de Tecnología de la Información;Sistemas Operativos
13116;34133;;Lic. En Gestión de Tecnología de la Información;Fundamentos de Telecomunicaciones
13116;24227;;Lic. En Gestión de Tecnología de la Información;Ingles
13116;34077;34074;Lic. En Gestión de Tecnología de la Información;Programacion III
13116;14076;31040;Lic. En Gestión de Tecnología de la Información;Fundamentos de Economia
13116;34134;34133;Lic. En Gestión de Tecnología de la Información;Teleinformatica y Redes de Datos
13116;31018;31040;Lic. En Gestión de Tecnología de la Información;Estadistica General
